Sl. No.	Product ID	Product JSON	Product Name	Brand Name
160	13056954#Shoplet	{u'Item ID': [u'13056954'], u'Product Type': [u'Printer Cartridges'], u'Product Segment': [u'Electronics'], u'Product Name': [u'Xerox 106R01452 Toner XER106R01452'], u'Product Long Description': [u'Get high-caliber OEM performance at significant cost savings. Reliable toner for precise everyday printing. Works precisely for optimal quality and dependability. Device Types: Laser Printer Colors: Cyan Page-Yield: 3100 Supply Type: Toner.XER106R01452. 106R01452. Xerox Xerox 106R01452 Toner. Ink & Toner<br><ul><li><b>Device Types</b>: Laser Printer</li><li><b>Colors</b>: Cyan</li><li><b>Page-yield</b>: 3100</li><li><b>Supply Type</b>: Toner</li><li><b>Oem/compatible</b>: OEM</li><li><b>Remanufactured</b>: No</li><li><b>Coverage Percent</b>: 5%</li><li><b>Pre-consumer Recycled Content Percent</b>: 0%</li><li><b>Post-consumer Recycled Content Percent</b>: 0%</li><li><b>Total Recycled Content Percent</b>: 0%</li><li><b>Assembly Code</b>: N</li><li><b>Green Indicator</b>: N</li><li><b>EPACPGCompliant Code</b>: N</li></ul><br>']}	Xerox 106R01452 Toner XER106R01452	Xerox
161	19612496#Shoplet	{u'Item ID': [u'19612496'], u'Product Type': [u'Computer Keyboards'], u'Product Segment': [u'Electronics'], u'Product Name': [u'Kensington KeyFolio Pro 2 Keyboard KMW39512'], u'Product Long Description': [u'** Free Shipping ** <br>Includes a high-performance removable keyboard optimized for the touch typist. Built-in Bluetooth technology delivers wireless operation and one button set-up. A secured Velcro fastener ensures tablet vertical stability with viewing angles from 70 to 20 degrees. This lightweight 3-in-1 design is optimized for travel and in-case use plus protects your iPad from wear and scratches. For Use With: iPad 2 3rd Gen Accessory Type: Case/Keyboard/Stand Connector/Port/Interface: Bluetooth Colors: Black.KMW39512. 39512. Kensington Kensington KeyFolio Pro 2 Keyboard. Keyboards<br><ul><li><b>For Use With</b>: iPad 2 3rd Gen</li><li><b>Accessory Type</b>: Case/Keyboard/Stand</li><li><b>Connector/port/interface</b>: Bluetooth</li><li><b>Colors</b>: Black</li><li><b>Pre-consumer Recycled Content Percent</b>: 0%</li><li><b>Post-consumer Recycled Content Percent</b>: 0%</li><li><b>Total Recycled Content Percent</b>: 0%</li><li><b>Assembly Code</b>: N</li><li><b>Green Indicator</b>: N</li><li><b>EPACPGCompliant Code</b>: Information Not Provided By Manufacturer</li></ul><br>']}	Kensington KeyFolio Pro 2 Keyboard KMW39512	Kensington KeyFolio
162	43095051#Focus Camera	{u'Item ID': [u'43095051'], u'Product Type': [u'Device-Specific Electronics Batteries'], u'Product Segment': [u'Electronics'], u'Product Name': [u'Phottix Battery Grip for Nikon D40 D40X D60 D3000 With Vertical Button'], u'Product Long Description': [u'Model: PH33320. Battery Grip BP-D60 for Nikon D40/D40x/D60Phottix Multi-Power Vertical Grip/Battery Holder for Nikon D40/D40x/D60 Digital Camera TheBattery Pack holds 1 or 2 EN-EL9 Lithium-Ion rechargeable batteries.Battery Grip provides a vertical firing release with lock. Also hasTripod Socket.']}	Phottix Battery Grip for Nikon D40 D40X D60 D3000 With Vertical Button	Phottix
163	41183357#TEKENVY	{u'Item ID': [u'41183357'], u'Product Type': [u'Device-Specific Electronics Batteries'], u'Product Segment': [u'Electronics'], u'Product Name': [u'Fujitsu Carrying Case for Scanner'], u'Product Long Description': [u'<p><b>General Information</b><ul><li>Manufacturer: Fujitsu</li><li>Manufacturer Part Number: PA03688-0011</li><li>Brand Name: Fujitsu</li><li>Product Name: ScanSnap iX100 Soft Case</li><li>Product Type: Carrying Case</li></ul></p><p><b>Product Information</b><ul><li>Case Features: Softcase</li></ul></p><p><b>Miscellaneous</b><ul><li>Application/Usage: Scanner</li><li>Compatibility: Fujitsu - ScanSnap iX100</li></ul></p>']}	Fujitsu Carrying Case for Scanner	Fujitsu
164	20865010#UnbeatableSale.com	{u'Item ID': [u'20865010'], u'Product Type': [u'Portable Radios'], u'Product Segment': [u'Electronics'], u'Product Name': [u'Disney Pirates of the Caribbean Alarm Clock Radio'], u'Product Long Description': [u'* Wake to Radio Buzzer or custom Pirates song- * Snooze function- * Battery backup keeps time in case of- power failure (2 x AA batteries required)- * Analog AM/FM radio- * Red LED light in each eye socket- * Animated jaw that moves with alarm /voices- * AC Power- * Dimensions: L 5 x W 7-48 x H 10-16 SKU: MGGD3336']}	Disney Pirates of the Caribbean Alarm Clock Radio	Disney
165	13056641#Circuit City	{u'Item ID': [u'13056641'], u'Product Type': [u'Printer Cartridges'], u'Product Segment': [u'Electronics'], u'Product Name': [u'Samsung Toner Cartridge for SF-565PSCX-4016'], u'Product Long Description': [u'<p><b> Samsung Toner Cartridge for SF-565PSCX-4016</b> <br/>The Samsung SCX-4216D3 print cartridge offers High print quality consistent performance easy-to-use design and a robust page yield for improved workflow and added value. This print cartridge is designed together with the Samsung printer for crisp sharp professional results. Innovative toner and cartridge design make them reliable and easy to use and maintain. </p><p><a href=http://content.webcollage.net/systemax/product-content-pageEdpNo=1337416&wcpid=samsungus-1281516393083 title=Manufacturers Product Tour target=_blank rel=nofollow><img src=http://images.highspeedbackbone.net/itemdetails/logos/tour2011-01.jpg border=0 alt=Manufacturers Product Tour - Click Here></a></p></center><BR/><p><b>Features</b></p><ul><li> Approx. Page Yield: 3000 pages @IDC 5% Coverage <li> Color: Black </ul>']}	Samsung Toner Cartridge for SF-565PSCX-4016	Samsung
166	33348464	{u'Category': [u'Tablet Docks'], u'Product Short Description': [u'CTA Digital Teenage Mutant Ninja Turtles Sports Car NIC-TIK Tablet Accessory - Accessory for iPad, Children Protection, App for Kids, Child-Safe, Supports Up to 230 lbs, Indoor Use'], u'Product Segment': [u'Electronics'], u'Color': [u'Multicolor'], u'Actual Color': [u'Multicolor'], u'Manufacturer Part Number': [u'NIC-TIK'], u'Country of Origin: Components': [u'USA and/or Imported'], u'UPC': [u'58NKdVve0713'], u'GTIN': [u'II58NKdVve0713'], u'Product Name': [u'CTA Digital Teenage Mutant Ninja Turtles Sports Car NIC-TIK Tablet Accessory - Accessory for iPad, Children Protection'], u'Product Type': [u'Tablet Computer Stands'], u'Product Long Description': [u'<table class=nomobile style=width: 127px; border=0 cellspacing=4 align=right><tbody><tr><td><img title=Case src=http://images.highspeedbackbone.net/itemdetails/logos/badge-case.gif alt=Case /></td></tr></tbody></table><p><strong>CTA Digital Teenage Mutant Ninja Turtles Sports Car NIC-TIK Tablet Accessory</strong><br />Even toddlers can now enjoy a realistic driving experience with the CTA Digital Teenage Mutant Ninja Turtles Sports Car NIC-TIK Tablet Accessory. This accessory is perfect for playing iOS racing apps as it features a steering wheel to give your kid the real driving sensation; it is also used for mounting your iPad. Built with a comfortable and durable seat, the CTA Digital Teenage Mutant Ninja Turtles Sports Car NIC-TIK Tablet Accessory is capable of supporting up to 230 pounds of weight. Plus, a pump is included in the package so setting it up is such an easy task. Purchase the CTA Digital Teenage Mutant Ninja Turtles Sports Car NIC-TIK Tablet Accessory now!</p><p><strong>What It Is And Why You Need It:</strong></p><ul><li>Steering Wheel; secures your iPad in place while giving your child the real driving experience</li><li>Comfortable, Durable Seat; supports up to 230 pounds of weight</li><li>Easy to Set Up; includes a pump to easily inflate this tablet accessory</li></ul>']}	CTA Digital Teenage Mutant Ninja Turtles Sports Car NIC-TIK Tablet Accessory - Accessory for iPad, Children Protection	CTA Digital
167	42464577#TigerDirect	{u'Item ID': [u'42464577'], u'Product Type': [u'Network Adapters'], u'Product Segment': [u'Electronics'], u'Product Name': [u'Corlink 7SW-000-COR Adva Compatible 1000BASE-CWDM SFP 1GE 2G FC 1470nm 80km DOM SMF LC'], u'Product Long Description': [u'Each 7SW-000-COR transceiver operates at 1 Gbps/2G FC over Single-mode fiber 1470nm with a maximum reach of 80 kilometers. Corlink OEM Compatible Copper and Optical Transceivers are 100% Tested Serialized and Individually Programmed supporting Identical Functionality and System Recognition. Corlink Transceivers are MSA IEEE and RoHS Compliant. All Corlink OEM compatible transceivers are certified for compatibility reliability and performance through our strict quality control and testing procedures. Corlink transceivers are built using the highest quality grade components and lasers. Our test facility utilizes an extensive array of network switches routers and devices for Corlink that guarantees 100% compatibility and reliability in all of todays most popular network platforms. All Corlink Transceivers are backed by a Lifetime Replacement Warranty.']}	Corlink 7SW-000-COR Adva Compatible 1000BASE-CWDM SFP 1GE 2G FC 1470nm 80km DOM SMF LC	Corlink
168	29773166#Tech For Less Inc	{u'Item ID': [u'29773166'], u'Product Type': [u'Computer Cables'], u'Product Segment': [u'Electronics'], u'Product Name': [u'Cables To Go 02798 6 Feet DB25M to C36M Parallel Printer Cable'], u'Product Long Description': [u'Cables To Go 02798 6 Feet DB25M to C36M Parallel Printer Cable.<ul><li>Product Name: Cables To Go 02798 Printer Cable</li><li>Product Type: Parallel Cable External</li><li>Cable Length: 6 feet</li><li>Number of Connectors: 2</li><li>Connector on First End: 1 x 25-pin - D-Sub (DB-25) - Male</li><li>Connector on Second End: 1 x 36-pin - Centronics - Male</li><li>Platform Support: PC</li><li>Color: Beige</li></ul>']}	Cables To Go 02798 6 Feet DB25M to C36M Parallel Printer Cable	Cables To Go
169	19415451	{u'Product Short Description': [u'Intellinet 300N Wireless Access Point - 300 Mbps, MIMO, Bridge, Repeater, Multiple SSIDs and VLANs, External,IEEE 802.1d/11b/11g/11n/1x/3/3u, 1 x 100Base-TX, RJ-45, 0 40C, White - 524728'], u'Category': [u'Hubs'], u'Product Segment': [u'Electronics'], u'Color': [u'Multicolor'], u'Actual Color': [u'Multicolor'], u'Manufacturer Part Number': [u'524728'], u'Country of Origin: Components': [u'USA and/or Imported'], u'UPC': [u'766623524728'], u'GTIN': [u'00766623524728'], u'Product Name': [u'Intellinet 300N Wireless Access Point - 300 Mbps, MIMO, Bridge, Repeater, Multiple SSIDs and VLANs, External,IEEE 802.1d'], u'Product Type': [u'Network Hubs'], u'Product Long Description': [u'The Intellinet 524728 300N Wireless Access Point expands the reach of your network.This device has two detachable 3dBi dipole antennas to provide network to a wide area. It is 802.11B/G/N compatible and operates in the 2.4GHz frequency band making it a high power WDS, Point-to-Point or Point-to-Multi-Point Bridge. Get speeds of up to 300Mbps to surf the web or conduct a variety of network related tasks. Order the Intellinet 524728 300N Wireless Access Point now.']}	Intellinet 300N Wireless Access Point - 300 Mbps, MIMO, Bridge, Repeater, Multiple SSIDs and VLANs, External,IEEE 802.1d	Intellinet
170	41258899	{u'Product Short Description': [u'Raritan Computer Interface Module - RJ-45 Female Network, Type A Male USB, HD-15 Male Video'], u'Category': [u'KVM Switch'], u'Product Segment': [u'Electronics'], u'Manufacturer Part Number': [u'MCIM-USB'], u'Country of Origin: Components': [u'USA and/or Imported'], u'UPC': [u'64OLJLlh1757'], u'GTIN': [u'II64OLJLlh1757'], u'Product Name': [u'Raritan Computer Interface Module - RJ-45 Female Network, Type A Male USB, HD-15 Male Video'], u'Product Type': [u'KVM Switches'], u'Warranty Information': [u'Y'], u'Condition': [u'New'], u'Product Long Description': [u'<p><b>General Information</b><ul><li>Manufacturer: Raritan Computer</li><li>Manufacturer Part Number: MCIM-USB</li><li>Brand Name: Raritan</li><li>Product Name: Computer Interface Module</li><li>Product Type: KVM Cable</li></ul></p><p><b>Technical Information</b><ul><li>Connector on First End: 1 x RJ-45 Female Network</li><li>Connector on Second End: <ul><li>1 x Type A Male USB</li><li>1 x 15-pin HD-15 Male Video</li></ul></li></ul></p><p><b>Miscellaneous</b><ul><li>Country of Origin: Taiwan</li></ul></p>']}	Raritan Computer Interface Module - RJ-45 Female Network, Type A Male USB, HD-15 Male Video	Raritan Computer
171	40501356	{u'Product Short Description': [u'Mount your iPhone, Samsung Galaxy S, or other mobile device to your windshield using this Universal Windshield Mount from Monoprice!<br><br>The mount features a powerful, 2.3 suction cup with lever actuator for mounting to any smooth, flat surface. The phone cradle is adjustable to allow it to fit phones with 3.3 &#x7E; 4.3 sized screens. The cradle uses a ball joint to attach to the base, allowing you to rotate it 360&#xFFFD; and orient it any way you want.<br><br><b>Features:</b><br><br>* Suitable for mobile phones 3.3 &#x7E; 4.3 sized screens<br>* Vertical adjustment from 4.3 &#x7E; 5.3 (108 &#x7E; 135 mm)<br>* Horizontal adjustment from 1.6 &#x7E; 2.8 (40 &#x7E; 70 mm)<br>* Powerful suction cup attaches to any smooth surface<br>* Rotates 360&#xFFFD;<br>* Measures 5.0 x 3.1 x 4.3 (128 x 80 x 110 mm)<br>* Made of high quality PC and ABS<br>* Skidproof corners<br><br><br>*** 30-day easy returns. No restocking fee. Free lifetime technical support. 1 year warranty. ***'], u'Category': [u'Mobile Communication Replacement Parts'], u'Product Segment': [u'Electronics'], u'Color': [u'Multicolor'], u'Actual Color': [u'Multicolor'], u'UPC': [u'757901809521'], u'Country of Origin: Components': [u'Imported'], u'GTIN': [u'00757901809521'], u'Product Name': [u'Universal Windshield Mount for iPhone, Samsung Galaxy S, and most Mobile Phones - Black'], u'Product Type': [u'Cell Phone Parts'], u'Warranty Information': [u'Y'], u'Product Long Description': [u'Mount your iPhone, Samsung Galaxy S, or other mobile device to your windshield using this Universal Windshield Mount from Monoprice!<br><br>The mount features a powerful, 2.3 suction cup with lever actuator for mounting to any smooth, flat surface. The phone cradle is adjustable to allow it to fit phones with 3.3 &#x7E; 4.3 sized screens. The cradle uses a ball joint to attach to the base, allowing you to rotate it 360&#xFFFD; and orient it any way you want.<br><br><b>Features:</b><br><br>* Suitable for mobile phones 3.3 &#x7E; 4.3 sized screens<br>* Vertical adjustment from 4.3 &#x7E; 5.3 (108 &#x7E; 135 mm)<br>* Horizontal adjustment from 1.6 &#x7E; 2.8 (40 &#x7E; 70 mm)<br>* Powerful suction cup attaches to any smooth surface<br>* Rotates 360&#xFFFD;<br>* Measures 5.0 x 3.1 x 4.3 (128 x 80 x 110 mm)<br>* Made of high quality PC and ABS<br>* Skidproof corners<br><br><br>*** 30-day easy returns. No restocking fee. Free lifetime technical support. 1 year warranty. ***']}	Universal Windshield Mount for iPhone, Samsung Galaxy S, and most Mobile Phones - Black	
172	41901932	{u'Category': [u'Capacitors'], u'Product Short Description': [u'Motor Start Capacitor,243-292 MFD,Round'], u'Warranty Information': [u'Y'], u'Product Segment': [u'Electronics'], u'Manufacturer Part Number': [u'6FLV0'], u'UPC': [u'56OLMCCI0957'], u'GTIN': [u'II56OLMCCI0957'], u'Product Name': [u'DAYTON 6FLV0 Motor Start Capacitor, 243-292 MFD, Round'], u'Product Type': [u'Capacitors'], u'Product Long Description': [u'Motor Start Capacitor, 243-292 Microfarad Rating, 165VAC Voltage, 60/50 Hz, Round Shape, 1-13/16 In. Diameter, 3-3/8 In. Case Height, 3-3/8 In. Overall Height, Terminal Type 1/4 In. Male Quick-Connect, -40 Degrees to 65 Degrees C Temp. Range, Case Material Plastic, Standards UL Recognized (E136401)<br><b>Features</b><ul><li>Shape : Round</li><li>Hz : 60/50</li><li>MFD Rating : 243-292</li><li>Voltage : 165VAC</li><li>Dia. (In.) : 1-13/16</li><li>Overall Height (In.) : 3-3/8</li><li>Temp. Range (C) : 65</li><li>Construction : Sealed Molded Phenolic Resin Case</li><li>Item : Motor Start Capacitor</li><li>Terminals : 1/4 Male Quick Connect</li><li>Standards : UL Recognized (E136401)</li><li>Case Height (In.) : 3-3/8</li><li>Temp. Range : -40 Degrees to 65 Degrees C</li><li>Overall Height : 3-3/8</li><li>Terminal Type : 1/4 Male Quick-Connect</li><li>Case Material : Plastic</li><li>Diameter : 1-13/16</li><li>Case Height : 3-3/8</li><li>Microfarad Rating : 243-292</li></ul>']}	DAYTON 6FLV0 Motor Start Capacitor, 243-292 MFD, Round	DAYTON
173	40872019	{u'Category': [u'Computers: Replacement Parts & Accessories'], u'Product Short Description': [u'Authorized Dealer / USA Warranty'], u'Warranty Information': [u'Y'], u'Product Segment': [u'Electronics'], u'Manufacturer Part Number': [u'6217'], u'Country of Origin: Components': [u'USA and/or Imported'], u'UPC': [u'029144062170'], u'GTIN': [u'00029144062170'], u'Product Name': [u'ProMaster 16GB SDHC 2-pack Class 10 Performance Memory Card'], u'Product Type': [u'Flash Memory'], u'Product Long Description': [u'ProMaster Performance memory cards are the optimum combination of speed and reliability. Perfect for any photo application.']}	ProMaster 16GB SDHC 2-pack Class 10 Performance Memory Card	ProMaster
174	21188287#UnbeatableSale.com	{u'Item ID': [u'21188287'], u'Product Type': [u'Blank Video Tapes'], u'Product Segment': [u'Electronics'], u'Product Name': [u'MAXELL 213010 Standard Quality VHS Video Tape 8 hrs 213010'], u'Product Long Description': [u'SKU: PTR3750']}	MAXELL 213010 Standard Quality VHS Video Tape 8 hrs 213010	MAXELL
175	15105368	{u'Category': [u'Keyboards & Mouse Bundles'], u'Product Segment': [u'Electronics'], u'Video Game Platform': [u'Mac, PC'], u'Country of Origin: Components': [u'USA or Imported'], u'GTIN': [u'00097855066718'], u'Composite Wood Code': [u'No'], u'Type': [u'Computer/Video Game Control/Input Devices'], u'Product Short Description': [u'<li>Softly rounded keys<li>Contoured mouse<li>Energy efficient'], u'Manufacturer Part Number': [u'920-002553'], u'Has Mercury': [u'N'], u'Product Name': [u'Logitech MK520 Wireless Keyboard and Mouse'], u'Product Type': [u'Computer Mice'], u'Release Date': [u'-2208988800000'], u'UPC': [u'097855066718'], u'Assembled Product Width': [u'8.2'], u'Warranty Length': [u'3 Years'], u'Assembled Product Height': [u'2.9'], u'Product Long Description': [u'<strong>Logitech MK520 Wireless Keyboard and Mouse:</strong><ul><li>With softly rounded keys, a full-size layout and a palm rest, this keyboard that comes with the wireless combo keyboard and mouse treats your hands right</li><li>The laser mouse keeps your hand happy and supported with contoured sides and soft rubber grips</li><li>The Logitech wireless keyboard and mouse are so energy efficient you just might forget they use batteries at all</li><li>Tiny wireless receiver stays in your laptop theres no need to unplug it when you move around and connects both the keyboard and mouse</li><li>Advanced 2.4 GHz wireless</li><li>Logitech wireless keyboard and mouse has adjustable tilt legs</li><li>Instant media access</li><li>Easy keyboard storage</li></ul>'], u'Assembled Product Length': [u'18.6'], u'Lifestage': [u'Adult|Kids|Teen'], u'Warranty Information': [u'This warranty gives you specific legal rights. You may also have other rights which vary from state to state.<p>Dual Electronics Corp. warrants this product to the original purchaser to be free from defects in material and workmanship for a period of five years from the date of the original purchase.<p>Dual Electronics Corp. agrees, at our option, during the warranty period, to repair any defect in material or workmanship or to furnish an equal new, renewed or comparable product (whichever is deemed necessary) in exchange without charges, subject to verification of the defect or malfunction and proof of the date of purchase. Subsequent replacement products are warranted for the balance of the original warranty period.<p>Who is covered This warranty is extended to the original retail purchaser for products purchased and used in the U.S.A.<p>What is covered This warranty covers all defects in material and workmanship in this product. The following are not covered: installation/removal costs, damage resulting from accident, misuse, abuse, neglect, product modification, improper installation, incorrect line voltage, unauthorized repair or failure to follow instructions supplied with the product, or damage occurring during return shipment of the product.'], u'CPSC-Regulated Indicator': [u'N']}	Logitech MK520 Wireless Keyboard and Mouse	Logitech
176	15935517#Circuit City	{u'Item ID': [u'15935517'], u'Product Type': [u'Stylus Pens'], u'Product Segment': [u'Electronics'], u'Product Name': [u'Kensington Virtuoso Stylus and Pen - For iPads Silicon Smooth Touch Comfortable Grip Gunmetal - K39305USA'], u'Product Long Description': [u'Bring the creativity and accuracy of freehand to your iPad with the Kensington K39305US Virtuoso Touch Screen Stylus and Pen. When combined with Apps such as SketchBook iAnnotate and Penultimate the Virtuoso Touch Screen Stylus allows you to create annotate and capture your ideas with a smooth touch tip and the built-in ballpoint pen offers a comfortable grip.']}	Kensington Virtuoso Stylus and Pen - For iPads Silicon Smooth Touch Comfortable Grip Gunmetal - K39305USA	Kensington Virtuoso
177	41490476#Focus Camera	{u'Item ID': [u'41490476'], u'Product Type': [u'Device-Specific Electronics Batteries'], u'Product Segment': [u'Electronics'], u'Product Name': [u'XiT Pro series Multi-Power Battery Grip For Nikon D7100'], u'Product Long Description': [u'The Xit XTNG battery grip for Nikon is the perfect complement for the Nikon D7100 it can effectively double your shooting time; it takes 1 EN-EL-15 Battery and also accepts 6 AA batteries. It also stabilizes the camera enabling you to capture crisp clear shots.']}	XiT Pro series Multi-Power Battery Grip For Nikon D7100	XiT 
178	40784095#Zoro	{u'Item ID': [u'40784095'], u'Product Type': [u'Video Game Console Keypads'], u'Product Segment': [u'Electronics'], u'Product Name': [u'SLOAN EBV123A Button Replacement'], u'Product Long Description': [u'Button Replacement SMO Material of Construction Rubber For Use With 1GAB2 Package Quantity 1<br><b>Features</b><ul><li>For Use With : Mfr. No. EBV89AM</li><li>Item : Button Replacement</li><li>Material of Construction : Rubber</li><li>Package Quantity : 1</li><li>Type : SMO</li></ul>']}	SLOAN EBV123A Button Replacement	SLOAN
179	40610754#TigerDirect	{u'Item ID': [u'40610754'], u'Product Type': [u'RAM Memory'], u'Product Segment': [u'Electronics'], u'Product Name': [u'MSI GP60 Leopard-472 - Core i7 4710HQ - Windows 8.1 - 8 GB RAM - 1 TB HDD - DVD SuperMulti - 15.6 1920 x 1080 ( Full HD'], u'Product Long Description': [u'<!-- CNET Content -->Amazing performance and stunning visuals with a boost! Raise the bar on your PC experience with rich visuals plus an automatic burst of speed when you need it. The fast Intel Core i7 processor delivers amazing performance stunning visuals and built-in security for deeper protection. Discover the thrill of an automatic burst of speed when you need it with Intel Turbo Boost Technology 2.0. Experience your movies photos and games smoothly and seamlessly with a built-in suite of visual enhancements and enjoy them even more with longer battery life.<br><br><h3 id=detailspecs>Specifications</h3><span class=font_size3bold>General</span><br>&nbsp;<img align=absmiddle src=http://images.highspeedbackbone.net/main/gfx-blkbullet.jpg>&nbsp;&nbsp;Product Type: &nbsp;Notebook<br>&nbsp;<img align=absmiddle src=http://images.highspeedbackbone.net/main/gfx-blkbullet.jpg>&nbsp;&nbsp;Operating System: &nbsp;Windows 8.1<br><br><span class=font_size3bold>Processor / Chipset</span><br>&nbsp;<img align=absmiddle src=http://images.highspeedbackbone.net/main/gfx-blkbullet.jpg>&nbsp;&nbsp;CPU: &nbsp;Intel Core i7 (4th Gen) 4710HQ<br>&nbsp;<img align=absmiddle src=http://images.highspeedbackbone.net/main/gfx-blkbullet.jpg>&nbsp;&nbsp;Number of Cores: &nbsp;Quad-Core<br>&nbsp;<img align=absmiddle src=http://images.highspeedbackbone.net/main/gfx-blkbullet.jpg>&nbsp;&nbsp;64-bit Computing: &nbsp;Yes<br>&nbsp;<img align=absmiddle src=http://images.highspeedbackbone.net/main/gfx-blkbullet.jpg>&nbsp;&nbsp;Chipset: &nbsp;Mobile Intel HM86 Express<br><br><span class=font_size3bold>Memory</span><br>&nbsp;<img align=absmiddle src=http://images.highspeedbackbone.net/main/gfx-blkbullet.jpg>&nbsp;&nbsp;RAM: &nbsp;8 GB<br>&nbsp;<img align=absmiddle src=http://images.highspeedbackbone.net/main/gfx-blkbullet.jpg>&nbsp;&nbsp;Max RAM Supported: &nbsp;16 GB<br>&nbsp;<img align=absmiddle src=http://images.highspeedbackbone.net/main/gfx-blkbullet.jpg>&nbsp;&nbsp;Technology: &nbsp;DDR3L SDRAM<br>&nbsp;<img align=absmiddle src=http://images.highspeedbackbone.net/main/gfx-blkbullet.jpg>&nbsp;&nbsp;Speed: &nbsp;1600 MHz<br>&nbsp;<img align=absmiddle src=http://images.highspeedbackbone.net/main/gfx-blkbullet.jpg>&nbsp;&nbsp;Form Factor: &nbsp;SO DIMM 204-pin<br>&nbsp;<img align=absmiddle src=http://images.highspeedbackbone.net/main/gfx-blkbullet.jpg>&nbsp;&nbsp;Slots Qty: &nbsp;2<br><br><span class=font_size3bold>Storage</span><br>&nbsp;<img align=absmiddle src=http://images.highspeedbackbone.net/main/gfx-blkbullet.jpg>&nbsp;&nbsp;Main Storage: &nbsp;1 TB HDD / 7200 rpm<br>&nbsp;<img align=absmiddle src=http://images.highspeedbackbone.net/main/gfx-blkbullet.jpg>&nbsp;&nbsp;Interface: &nbsp;SATA 3 Gb/s<br>&nbsp;<img align=absmiddle src=http://images.highspeedbackbone.net/main/gfx-blkbullet.jpg>&nbsp;&nbsp;Optical Drive: &nbsp;DVDRW (R DL) / DVD-RAM<br><br><span class=font_size3bold>Display</span><br>&nbsp;<img align=absmiddle src=http://images.highspeedbackbone.net/main/gfx-blkbullet.jpg>&nbsp;&nbsp;Type: &nbsp;15.6<br>&nbsp;<img align=absmiddle src=http://images.highspeedbackbone.net/main/gfx-blkbullet.jpg>&nbsp;&nbsp;LCD Backlight Technology: &nbsp;LED backlight<br>&nbsp;<img align=absmiddle src=http://images.highspeedbackbone.net/main/gfx-blkbullet.jpg>&nbsp;&nbsp;Resolution: &nbsp;1920 x 1080 ( Full HD )<br>&nbsp;<img align=absmiddle src=http://images.highspeedbackbone.net/main/gfx-blkbullet.jpg>&nbsp;&nbsp;Widescreen: &nbsp;Yes<br>&nbsp;<img align=absmiddle src=http://images.highspeedbackbone.net/main/gfx-blkbullet.jpg>&nbsp;&nbsp;Image Aspect Ratio: &nbsp;16:9<br>&nbsp;<img align=absmiddle src=http://images.highspeedbackbone.net/main/gfx-blkbullet.jpg>&nbsp;&nbsp;Features: &nbsp;Anti-glare MSI Matrix Display<br><br><span class=font_size3bold>Audio & Video</span><br>&nbsp;<img align=absmiddle src=http://images.highspeedbackbone.net/main/gfx-blkbullet']}	MSI GP60 Leopard-472 - Core i7 4710HQ - Windows 8.1 - 8 GB RAM - 1 TB HDD - DVD SuperMulti - 15.6 1920 x 1080 ( Full HD	MSI
180	23133856#UnbeatableSale.com	{u'Item ID': [u'23133856'], u'Product Type': [u'Printer Cartridges'], u'Product Segment': [u'Electronics'], u'Product Name': [u'Xerox XER106R01507 Phaser Toner Cartridge 12000 Page Yield Cyan'], u'Product Long Description': [u'SKU: SPRCH45239']}	Xerox XER106R01507 Phaser Toner Cartridge 12000 Page Yield Cyan	Xerox
181	11952832#Wayfair	{u'Style': [u'Mini-Clamp'], u'Product Segment': [u'Electronics'], u'Product Long Description': [u'RX1032<br /><strong>Features</strong><br /><li>Material: Metal</li><li>5 inside loops made from plastic</li><li>Available styles: C-Clamp and Mini-Clamp</li><li>Product Type: Cable Management</li>'], u'Product Name': [u'Raxxess CMP - Cable Management Panels'], u'Product Type': [u'Cable Organizers'], u'Item ID': [u'11952832']}	Raxxess CMP - Cable Management Panels	Raxxess
182	40623256#OneCall	{u'Item ID': [u'40623256'], u'Product Type': [u'Flash Memory'], u'Product Segment': [u'Electronics'], u'Product Name': [u'Delkin Devices DDMSD66032GB 32GB Micro SDHC Class 3 w/SD Adapter'], u'Product Long Description': [u'Delkin Devices DDMSD66032GB 32GB Micro SDHC Class 3 w/SD Adapter. Authorized Dealer / USA Warranty']}	Delkin Devices DDMSD66032GB 32GB Micro SDHC Class 3 w/SD Adapter	Delkin Devices
183	33833909	{u'Product Short Description': [u'Kensington AbsolutePower 4.2 Dual Fast Charge - Power adapter - 2 output connector(s)'], u'Warranty Information': [u'Y'], u'Product Segment': [u'Electronics'], u'Manufacturer Part Number': [u'K39690AM'], u'Country of Origin: Components': [u'USA and/or Imported'], u'UPC': [u'57NMQWbs2760'], u'GTIN': [u'II57NMQWbs2760'], u'Product Name': [u'Kensington AbsolutePower 4.2 Dual Fast Charge - Power adapter - 2 output connector(s)'], u'Product Type': [u'Device-Specific Electronics Chargers'], u'Product Long Description': [u'Kensington AbsolutePower 4.2 Dual Fast Charge - Power adapter - 2 output connector(s)']}	Kensington AbsolutePower 4.2 Dual Fast Charge - Power adapter - 2 output connector(s)	Kensington AbsolutePower
